step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
train_batch_0010_fhe_output_bootstrap,40.745186,0.0,3897106432,0,0.0,0.0,0.024543
train_batch_0011_1_linear,33.196016,0.0,3853348864,0,0.0,0.0,0.030124
train_batch_0011_2_attention,72.222988,0.0,3853348864,0,0.0,0.0,0.013846
train_batch_0011_3_leakyrelu,58.217085,0.0,3889393664,36044800,0.0,0.0,0.017177
train_batch_0011_4_bootstrap_after_pack,1234.40687,0.0,3884142592,-5251072,0.0,0.0,0.00081
train_batch_0011_epoch_1_forward_backward_stream,1612.290812,0.0,3638988800,1580982272,0.0,0.0,0.00062
train_batch_0011_epoch_1_weight_update,0.187605,0.0,3638988800,0,0.0,0.0,5.330334
train_batch_0011_epoch_1_bootstrap_weights,41.099855,0.0,3638988800,0,0.0,0.0,0.024331
train_batch_0011_epoch_2_forward_backward_stream,1618.769061,0.0,3701547008,62558208,0.0,0.0,0.000618
train_batch_0011_epoch_2_weight_update,0.186709,0.0,3701547008,0,0.0,0.0,5.355928
train_batch_0011_epoch_2_bootstrap_weights,40.903793,0.0,3701547008,0,0.0,0.0,0.024448
train_batch_0011_epoch_3_forward_backward_stream,1604.837525,0.0,3853348864,151801856,0.0,0.0,0.000623
train_batch_0011_epoch_3_weight_update,0.187063,0.0,3853348864,0,0.0,0.0,5.345781
train_batch_0011_epoch_3_bootstrap_weights,40.79243,0.0,3853348864,0,0.0,0.0,0.024514
train_batch_0011_fhe_output_bootstrap,40.919329,0.0,3889385472,0,0.0,0.0,0.024438
train_batch_0012_1_linear,32.751228,0.0,3878440960,0,0.0,0.0,0.030533
train_batch_0012_2_attention,72.021739,0.0,3878440960,0,0.0,0.0,0.013885
train_batch_0012_3_leakyrelu,58.579237,0.0,3878440960,0,0.0,0.0,0.017071
train_batch_0012_4_bootstrap_after_pack,1222.180253,0.0,3873165312,-5275648,0.0,0.0,0.000818
train_batch_0012_epoch_1_forward_backward_stream,1599.860785,0.0,3664687104,1606828032,0.0,0.0,0.000625
train_batch_0012_epoch_1_weight_update,0.18542,0.0,3664687104,0,0.0,0.0,5.39315
train_batch_0012_epoch_1_bootstrap_weights,40.644841,0.0,3664687104,0,0.0,0.0,0.024603
train_batch_0012_epoch_2_forward_backward_stream,1603.024226,0.0,3811573760,146886656,0.0,0.0,0.000624
train_batch_0012_epoch_2_weight_update,0.186893,0.0,3811573760,0,0.0,0.0,5.350653
train_batch_0012_epoch_2_bootstrap_weights,40.483499,0.0,3737243648,-74330112,0.0,0.0,0.024701
train_batch_0012_epoch_3_forward_backward_stream,1595.745155,0.0,3878440960,141197312,0.0,0.0,0.000627
train_batch_0012_epoch_3_weight_update,0.185834,0.0,3878440960,0,0.0,0.0,5.381146
train_batch_0012_epoch_3_bootstrap_weights,40.772263,0.0,3878440960,0,0.0,0.0,0.024526
train_batch_0012_fhe_output_bootstrap,40.597826,0.0,3878408192,0,0.0,0.0,0.024632
train_batch_0013_1_linear,33.248744,0.0,3889614848,0,0.0,0.0,0.030076
train_batch_0013_2_attention,71.953269,0.0,3889614848,0,0.0,0.0,0.013898
train_batch_0013_3_leakyrelu,58.170618,0.0,3889614848,0,0.0,0.0,0.017191
train_batch_0013_4_bootstrap_after_pack,1258.763169,0.0,3884490752,-5124096,0.0,0.0,0.000794
train_batch_0013_epoch_1_forward_backward_stream,1621.276632,0.0,3697651712,1639800832,0.0,0.0,0.000617
train_batch_0013_epoch_1_weight_update,0.193489,0.0,3697651712,0,0.0,0.0,5.168257
train_batch_0013_epoch_1_bootstrap_weights,42.027729,0.0,3697651712,0,0.0,0.0,0.023794
train_batch_0013_epoch_2_forward_backward_stream,1611.326234,0.0,3878588416,180936704,0.0,0.0,0.000621
train_batch_0013_epoch_2_weight_update,0.188177,0.0,3878588416,0,0.0,0.0,5.314133
train_batch_0013_epoch_2_bootstrap_weights,40.885645,0.0,3811721216,-66867200,0.0,0.0,0.024458
train_batch_0013_epoch_3_forward_backward_stream,1613.867788,0.0,3889614848,77893632,0.0,0.0,0.00062
train_batch_0013_epoch_3_weight_update,0.189332,0.0,3889614848,0,0.0,0.0,5.281734
train_batch_0013_epoch_3_bootstrap_weights,41.118501,0.0,3889614848,0,0.0,0.0,0.02432
train_batch_0013_fhe_output_bootstrap,41.706993,0.0,3889733632,0,0.0,0.0,0.023977
